Team,ELO
T1,1923.7657001380446
Gen.G,1703.9002451518954
Dplus Kia,1701.6953436600252
Kwangdong Freecs,1527.050783100938
DRX,1504.600139817322
kt Rolster,1488.7419187031117
OKSavingsBank BRION,1451.5178700441577
NongShim REDFORCE,1328.493237797433
Liiv SANDBOX,1213.8552917968532
Hanwha Life Esports,1156.3794697902197
